0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:02:08 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:02:08 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:03:18 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:04:58 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:04:59 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:04:59 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:04:59 +0200] "GET /nodejstester/libs/lodash-3.10.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:04:59 +0200] "GET /nodejstester/scripts/todoList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:04:59 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/libs/bootstrap-3.3.6-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2015:17:05:37 +0200] "GET /nodejstester/libs/jquery-2.1.4.js HTTP/1.1" 304 -
